,,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
2020-05-01,2020-05-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,All Residential,-1,327576.5,0.0399253968253967,0.0743735651033126,339995.0,-0.0076485156100642,0.0624843749999999,188.9077853363568,0.0356604620305851,0.0229384902211355,204.10622946411655,0.003251821018841,0.11964042805867,1038.0,0.0624360286591607,-0.3042895442359249,1008.0,0.1844888366627497,-0.1486486486486486,1582.0,0.1841317365269461,-0.0627962085308056,3604.0,0.0987804878048781,-0.0813153199082334,3.5,0.1,0.8999999999999999,46.0,0.0,-7.0,0.9878040426076866,-0.0022028127937545,0.0041378245113284,0.2283236994219653,-0.0183497908543908,0.0440073455345658,0.1395671476137624,0.024933001272299,-0.0467698393859826,0.2321428571428571,0.041778579822058,0.0404198841698841,Nashville, TN,34980,2022-04-10 14:38:16
2020-04-01,2020-04-30,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Condo/Co-op,3,309900.0,0.0330172169536158,0.1382920110192837,342615.5,0.0288753753753754,0.0545260080024623,242.00549656485063,-0.019151151062859,0.0589653824484783,203.4446638301028,0.0425422011791505,0.0945172685400657,84.0,-0.3,-0.4437086092715232,61.0,-0.1029411764705882,-0.5413533834586465,149.0,-0.1077844311377245,-0.2904761904761904,512.0,0.0666666666666666,-0.0321361058601133,6.1,2.1,2.6,86.0,21.0,20.0,0.9914018801109176,0.0065090156193267,0.0085431357231748,0.1904761904761904,0.0738095238095237,0.0580258593503626,0.078125,-0.0010416666666666,-0.0428579867674858,0.1311475409836065,-0.1629701060752169,-0.0493035868359422,Nashville, TN,34980,2022-04-10 14:38:16
2021-10-01,2021-10-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Townhouse,13,290000.0,0.054411256749141,0.1602320464092819,399990.0,-2.500000000005276e-05,0.1815496410953239,194.44449404257068,0.0313822427757539,0.2242978243723325,245.320684131746,0.0221045969541147,0.2173584334855263,190.0,0.0555555555555555,0.2837837837837837,148.0,-0.0451612903225806,0.034965034965035,156.0,-0.1284916201117318,-0.0188679245283018,234.0,-0.0448979591836734,-0.3463687150837988,1.2,-0.1999999999999999,-1.2,24.0,-3.0,-15.0,1.0091572650066132,0.0029648704862452,0.0164276215305156,0.4263157894736842,-0.0347953216374269,0.2236130867709814,0.1538461538461538,0.0273155416012559,-0.0249247958745165,0.4121621621621621,-0.013644289450741,0.1604139104139104,Nashville, TN,34980,2022-04-10 14:38:16
2021-08-01,2021-08-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Single Family Residential,6,411500.0,-0.0208209399167161,0.1591549295774648,394950.0,0.0259773996622938,0.1287510717347812,237.79761904761904,0.0049278072468614,0.2555823065488807,231.7570700046361,-0.0062519398084112,0.139287824806783,1057.0,0.0569999999999999,0.0028462998102467,996.0,0.067524115755627,-0.0568181818181817,1067.0,-0.0282331511839708,-0.088034188034188,1367.0,-0.0108538350217076,-0.392714349178143,1.3,-0.0999999999999998,-0.8,29.0,5.0,-8.0,1.0152465579214622,-0.0089716137488067,0.0242581553582327,0.4910122989593188,-0.0709877010406812,0.2291527164166243,0.2457937088514996,0.0287170084173462,-0.0083155759108282,0.3795180722891566,-0.0084776404653985,0.0395559510770354,Nashville, TN,34980,2022-04-10 14:38:16
2018-02-01,2018-02-28,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Townhouse,13,210000.0,0.1320754716981131,0.0606060606060605,309900.0,0.0505084745762711,0.1129466690608727,139.64256026600165,0.0298540700899054,0.0881145339665849,180.1285849966764,0.031494954544186,0.0793375389704873,87.0,0.1756756756756756,0.1599999999999999,69.0,0.0454545454545454,0.1694915254237288,115.0,0.1979166666666667,0.1274509803921568,210.0,0.1731843575418994,0.2068965517241379,2.4,0.0,0.1,35.0,-12.0,-2.0,0.9944115108304844,-0.0049998636216637,-0.005338127868407,0.2528735632183908,0.0096303199751475,-0.1337931034482758,0.1,-0.0229050279329608,0.0367816091954022,0.144927536231884,-0.0520421607378128,-0.2279538197003193,Nashville, TN,34980,2022-04-10 14:38:16
2014-07-01,2014-07-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Condo/Co-op,3,279890.0,0.2384513274336284,0.1195600000000001,199900.0,-0.0291403593977659,0.1111728738187882,181.1616067574544,-0.1129651897109096,0.0135899513578801,114.4521078248095,0.0037817209812389,0.1050672307167879,24.0,-0.1111111111111111,-0.3846153846153845,15.0,-0.4827586206896551,-0.5161290322580645,63.0,0.4318181818181818,0.9090909090909092,178.0,0.289855072463768,0.7450980392156862,7.4,2.3000000000000007,4.800000000000001,70.0,25.0,9.0,0.9843593570935436,0.0006306309892383,0.0084838126799631,0.125,-0.0231481481481481,0.0737179487179487,,,,0.2666666666666666,0.025287356321839,0.0731182795698924,Nashville, TN,34980,2022-04-10 14:38:16
2018-08-01,2018-08-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Single Family Residential,6,285000.0,-0.0515806988352744,0.0035211267605634,291710.0,0.0093771626297578,0.0062435322525009,166.49712191451823,-0.0499023131483555,0.0817609615915027,175.43041695484635,0.023323207934629,0.0233148546515942,1162.0,0.0699815837937385,0.0573248407643311,1071.0,0.0709999999999999,0.1454545454545455,1439.0,0.0055904961565338,0.1833881578947369,3422.0,0.0217975515079127,0.1623641304347827,2.9,-0.2000000000000001,0.1999999999999997,47.0,1.0,-2.0,0.9852740232101416,-0.0007124098857451,-0.0037667973950762,0.2271944922547332,-0.0085329478925964,-0.0448710218489974,0.2580362361192285,0.0152772035721995,0.0280769969887937,0.2390289449112978,-0.0009710550887021,-0.0005432476020711,Nashville, TN,34980,2022-04-10 14:38:16
2015-09-01,2015-09-30,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Townhouse,13,164681.0,0.0014046822742475,0.0292562499999999,245000.0,0.09375,0.2253339034887007,111.58450621490168,-0.0039239847506263,-0.081211559295966,129.01518097354744,0.0253755559727693,0.10215789196506,30.0,-0.2105263157894736,-0.032258064516129,27.0,-0.2702702702702702,0.4210526315789473,31.0,-0.2249999999999999,0.1923076923076922,88.0,-0.0833333333333333,0.0864197530864196,2.9,0.3999999999999999,0.2999999999999998,35.0,-4.0,-21.0,0.996340472852024,0.0061200724871484,0.0043234433326182,0.1666666666666666,-0.043859649122807,-0.1236559139784946,0.0227272727272727,-0.0293560606060606,,0.2962962962962962,-0.055055055055055,0.2436647173489278,Nashville, TN,34980,2022-04-10 14:38:16
2014-04-01,2014-04-30,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Multi-Family (2-4 Unit),4,119900.0,0.1153488372093023,-0.128,211750.0,0.0185185185185186,0.0614035087719297,63.540753724802805,0.1249838364391315,-0.0804170268563033,112.5235457875006,0.0085164066534491,0.0598266110986063,19.0,-0.0952380952380952,0.0555555555555555,16.0,0.0,-0.2727272727272727,24.0,-0.1999999999999999,-0.1428571428571429,80.0,-0.0804597701149425,-0.2233009708737864,4.2,0.1000000000000005,-1.5,85.0,11.0,40.0,0.9197567265045672,-0.0070793625876749,0.0021122361602722,0.0,-0.1428571428571428,-0.1111111111111111,,,,0.0625,-0.25,-0.1193181818181818,Nashville, TN,34980,2022-04-10 14:38:16
2020-08-01,2020-08-31,30,county,5,2563,f,Davidson County, TN,,Tennessee,TN,Multi-Family (2-4 Unit),4,330000.0,0.0819672131147541,0.32,349900.0,-0.0140884756269371,0.08328173374613,182.4561403508772,0.0924223878936241,0.1411802232854866,203.422756706753,-0.0125021101410345,0.0961684701889211,19.0,0.2666666666666666,-0.2399999999999999,20.0,0.1111111111111111,0.0526315789473683,18.0,-0.1428571428571429,0.0588235294117647,26.0,-0.2352941176470588,-0.3953488372093023,1.4,-0.8999999999999999,-0.3,46.0,20.0,3.0,0.9301428480668946,-0.0447898366945184,-0.0254727278927642,0.1052631578947368,-0.0280701754385964,-0.0147368421052631,0.8076923076923077,0.0723981900452488,0.644901610017889,0.5,0.3333333333333333,0.3947368421052631,Nashville, TN,34980,2022-04-10 14:38:16
